N,K,avg_time
10000000,1,0.0391916
10000000,2,0.9461504000000002
10000000,4,4.070916299999999
10000000,8,11.535354
10000000,16,36.985618
10000000,32,72.20300700000001
10000000,64,132.04275
10000000,128,252.15341000000004
10000000,256,481.26786000000004
100000000,1,0.45226620000000006
100000000,2,9.370086700000002
100000000,4,39.591613
100000000,8,117.71242
100000000,16,387.98315
100000000,32,740.02575
100000000,64,1432.586
100000000,128,2808.7677
100000000,256,5575.6566
1000000000,1,4.5485342
1000000000,2,95.87313600000002
1000000000,4,405.84543
1000000000,8,1174.6569
1000000000,16,3721.3805999999995
1000000000,32,7480.183999999999
1000000000,64,14758.416000000001
1000000000,128,28758.528
